275,336,438,606,814,Delta_Cubi275,Delta_275814,delta_cubi,pop,U,B,V,R,I,RA,DEC,pmra,pmdec,phot_g_mean_mag,bp_rp,phot_bp_mean_mag,pmra_error,pmdec_error,ruwe,astrometric_excess_noise_sig,astrometric_gof_al,ipd_frac_multi_peak,ipd_gof_harmonic_amplitude,pseudocolour,pseudocolour_error,visibility_periods_used,pmra_c,pmdec_c,ra,dec,dist_cntr,SD,pmra_error_fix,pmdec_error_fix,chisq,ra_c,dec_c,r,mu_r,emu_r,mu_t,emu_t,DCEN,RV,ERV,NRV,MJD,P_Single,PMEM,PMEM.1,Gmag,Gmagerr,BRmag,BRmagerr,Separation
,,,,,,,-0.0519325451150116,P2,15.754386983530871,14.93262549202089,13.899971946163715,13.360156995854249,12.824384195752064,5.976300760637519,-72.11558433282727,5.156956755364528,-2.957842632624201,13.616303,1.2242174,14.117694,0.0303657529520838,0.0285423513741966,1.1354685,1.0459312,2.717478,0,0.042225026,,,18,-0.09604324463547176,-0.40084263262420095,-0.014584455026089,-0.0342840840102932,0.0372572774024937,187.2,0.0303657529520838,0.0285423513741966,4.162104611159915,-0.014584455026089,-0.0342840840102932,0.0372572774024937,8.7081332342875,0.02882924375997916,1.4682849372497024,0.030093512761148626,134.19,-9.49,0.19,5,57228.81,0.828,0.999,1.0,13.616,0.003,1.224,0.005,0.0106783399279051
,,,,,,,-0.8044666715420614,P1,15.741470572812512,15.11687964043998,14.116926432640224,13.575019674764985,13.044361933151496,5.985961383157291,-72.11759273263104,5.60868551913637,-2.238897392209451,13.838776,1.2036905,14.295284,0.0323174323084936,0.028351453199181,1.0830761,1.0342697,1.8188516,0,0.020038076,,,20,0.3556855191363697,0.3181026077905491,-0.0116164378030745,-0.036290381597459,0.0381042439326176,171.36,0.0323174323084936,0.028351453199181,5.562221843706286,-0.0116164378030745,-0.036290381597459,0.0381042439326176,-8.814037773062589,0.02874312384009882,5.180031895672043,0.03196958217435627,137.26,-3.59,0.63,2,59396.3,0.818,0.999,1.0,13.839,0.003,1.204,0.007,0.0340050092522606
,,,,,,,-0.1884598761472053,P2,16.004042065546116,15.389662359232094,14.45801597549147,13.942273099903003,13.439816569319392,6.111174905172227,-72.11206698668605,5.047172805274801,-2.67387207704152,14.200232,1.1355095,14.627831,0.0360946291195668,0.0353740932807661,1.0850724,0.0,1.6614491,0,0.035793047,,,19,-0.20582719472519884,-0.11687207704152014,0.0268401952829659,-0.0307804611574169,0.0408391087388953,178.55999999999997,0.0360946291195668,0.0353740932807661,1.3568314375674777,0.0268401952829659,-0.0307804611574169,0.0408391087388953,-1.0109671320027405,0.03568710380011926,-4.96932186528928,0.035785184856415374,146.95,-10.13,0.26,4,55505.26,0.734,0.999,1.0,14.2,0.003,1.136,0.005,0.0421483318806162
,,,,,,,-0.0075853371263765,P2,15.749746788771612,14.945671419112584,13.93001452439236,13.392731910001736,12.862612700111024,5.91737291884208,-72.10587178226909,4.8811856145976815,-2.814751906423268,13.64317,1.2114592,14.144704,0.0273232302561194,0.0291864168145232,0.97920066,0.0,-0.42174566,0,0.02169442,,,19,-0.3718143854023186,-0.25775190642326784,-0.0326982165491898,-0.0245946755679946,0.0409154172179992,174.23999999999998,0.0273232302561194,0.0291864168145232,5.019092689200082,-0.0326982165491898,-0.0245946755679946,0.0409154172179992,9.685697396730186,0.028010766284518533,-0.3752517043020159,0.02852723037652945,147.38,-12.19,0.34,3,58743.19,0.639,0.999,1.0,13.643,0.003,1.212,0.006,0.0384850801787706
,,,,,,,-0.2496359267316148,P2,16.751746788771612,16.314671419112585,15.45201452439236,14.996731910001737,14.507612700111023,5.910923114079062,-72.10622103793816,5.090734695142155,-2.4610717359904006,15.208389,1.0766315,15.588623,0.0383947205057613,0.043906665615026,1.0408391,0.72596264,0.8993023,0,0.010700759,,,21,-0.1622653048578453,0.0959282640095993,-0.0346793199821726,-0.0249475390623903,0.0427204267732939,165.59999999999997,0.0383947205057613,0.043906665615026,0.8543319852356397,-0.0346793199821726,-0.0249475390623903,0.0427204267732939,1.6219275761039809,0.040359097528552566,-3.6985731140448905,0.04210811366588648,153.79,-8.46,0.97,1,53962.5,1.0,0.999,1.0,15.208,0.003,1.077,0.009,0.0083087849589834
,,,,,,,-0.8542882369221444,P1,15.750339249208492,15.15773268081055,14.17730417412906,13.633609422785828,13.104984200303306,6.159465408776002,-72.09355914007855,5.474969215497258,-2.77701699829213,13.899499,1.1998196,14.391015,0.0292096853956644,0.028629235039313,0.99484855,0.0,-0.08223155,0,0.028856955,,,21,0.2219692154972579,-0.22001699829213006,0.0417145988018576,-0.0123001334313047,0.0434902403867338,187.2,0.0292096853956644,0.028629235039313,2.391920628590644,0.0417145988018576,-0.0123001334313047,0.0434902403867338,5.894666985301252,0.029163680441368543,-3.1763456736182065,0.02867609782739927,156.56,-13.1,1.5,1,99999.9,1.0,1.0,1.0,13.899,0.003,1.2,0.006,0.0150948431749479
,,,,,,,-0.6838029271773818,P1,16.52244998135731,16.097714228855786,15.20855065733417,14.727531539014018,14.220735843743167,5.915605645769281,-72.10934571697567,5.09101028255802,-2.620091351664488,14.956002,1.1111803,15.358006,0.0442840620831274,0.0388918473344458,1.0841008,0.68765044,1.7836611,0,0.017750634,,,17,-0.16198971744197976,-0.0630913516644882,-0.0332349851279715,-0.0280695722824259,0.0435024716103169,177.11999999999998,0.0442840620831274,0.0388918473344458,0.72124440347944,-0.0332349851279715,-0.0280695722824259,0.0435024716103169,3.523648994814979,0.04212304201327207,-1.2066854887672054,0.04122260832865897,156.5,-8.76,0.25,1,59406.2,1.0,0.999,1.0,14.956,0.003,1.111,0.008,0.0594087365211601
,,,,,,,-0.3547548541624161,P2,15.670851300784452,14.88054250423761,13.835641364426037,13.27562591882935,12.745379177291197,5.9648113630837685,-72.03931354944272,4.956804823963983,-2.856365915355537,13.545308,1.2229815,14.041418,0.0308079409158298,0.0291883161925619,0.9461648,0.0,-1.064411,0,0.03407367,,,20,-0.29619517603601686,-0.299365915355537,-0.0181875279428469,0.041983543451257,0.0457537324618804,171.36,0.0308079409158298,0.0291883161925619,4.336226656363615,-0.0181875279428469,0.041983543451257,0.0457537324618804,-3.3627794926191585,0.029450165128268684,8.372573188473178,0.03055772979923769,164.76,-35.08,0.3,2,59399.3,0.996,0.998,1.0,13.545,0.003,1.223,0.006,0.0361422341220243
,,,,,,,-0.8081282574368298,P1,16.405646331821995,16.012838843623964,15.125928828439765,14.616181639320608,14.14417536823542,6.099278737740386,-72.0417925251909,5.14411869133633,-2.353090122706409,14.90035,1.0981169,15.264702,0.0449601893491667,0.0452384330979901,1.1269385,1.3171831,2.551712,0,0.028512985,,,19,-0.10888130866366996,0.203909877293591,0.0232743116188634,0.0394988866325201,0.0458459980884606,181.44,0.0449601893491667,0.0452384330979901,1.271007997621051,0.0232743116188634,0.0394988866325201,0.0458459980884606,2.5796475386410056,0.04516688855059034,4.2276444170970695,0.04503206413452958,164.91,-15.47,0.26,1,59397.3,1.0,1.0,1.0,14.9,0.003,1.098,0.009,0.0490553182165737
,,,,,,,-0.1791944265069247,P2,16.368677681965213,15.802056125422236,14.883058433374895,14.382127915367416,13.890441001591563,6.159971203093203,-72.10506392009049,5.593297283815076,-2.5225422836465428,14.633125,1.0978022,15.0075035,0.0342280622834479,0.0369239617925922,1.1148407,1.535928,2.6630702,0,0.030330786,,,23,0.34029728381507596,0.03445771635345718,0.0418440938476819,-0.0238052350617104,0.0481416379605674,188.64,0.0342280622834479,0.0369239617925922,2.8413805242209627,0.0418440938476819,-0.0238052350617104,0.0481416379605674,5.972018746254497,0.03490648368326035,4.246856464916618,0.036283284156875345,173.21,-11.28,0.22,4,58744.96,0.741,0.999,1.0,14.633,0.003,1.098,0.009,0.0333080177739299
